King Rat, China Miéville, Noblebooks

Hit Man Reborn, Akira Amano, Noblebooks

The Kane Chronicles, Rick Riordan, Noblebooks

The Keys to the Kingdom, Garth Nix, Noblebooks

The King of Elfland's Daughter, Lord Dunsany, Noblebooks

Portrait of Jennie, Robert Nathan, Noblebooks

Practical Magic, Alice Hoffman, Noblebooks

Phantastes, George MacDonald, Noblebooks

Pilgermann, Russell Hoban, Noblebooks

Lolly Willowes, Sylvia Townsend Warner, Noblebooks

The Long Look, Richard Parks, Noblebooks

Hereafter, and After, Richard Parks, Noblebooks

The Heavenly Fox, Richard Parks, Noblebooks

The Keys to the Kingdom, Garth Nix, Noblebooks

Khaled: A Tale of Arabia, F. Marion Crawford, Noblebooks

The Lays of Beleriand, J. R. R. Tolkien, Noblebooks

Nights at the Circus, Angela Carter, Noblebooks

The Named, Marianne Curley, Noblebooks

Flying Dutch, Tom Holt, Noblebooks
